train_loss,valid_loss,train_accuracy,valid_accuracy,train_precision,valid_precision,train_recall,valid_recall,train_f1,valid_f1,epoch
2.1327516412734986,2.1304820679426193,0.246125,0.2483,0.25236349768405525,0.28004199667286644,0.24485,0.2508,0.19603366260066762,0.20260782669488359,1
1.8965144877433777,1.887409015893936,0.310725,0.3128,0.3137693437234573,0.31845152365594814,0.311425,0.3132,0.2590856889225713,0.2625683793925692,2
1.7557259270250798,1.7436343301534654,0.354325,0.3565,0.3491890934899695,0.3500147819012671,0.354225,0.3539,0.32540863839569417,0.32634936828941175,3
1.7057229712903499,1.6911030309200288,0.37165,0.3703,0.37212369175290716,0.36652208389932234,0.37445,0.3734,0.35897923836922596,0.3582497963941677,4
1.641261512219906,1.6248908860683442,0.39805,0.399,0.3862829900743633,0.39529071530029203,0.397925,0.3993,0.3729161586099396,0.37539884408130875,5
1.6003367301523685,1.5802167525291444,0.410175,0.4143,0.40292114107557503,0.4120614934231655,0.410325,0.4164,0.3844614417609496,0.39119057216895514,6
1.5391385800689459,1.5240686551332474,0.43275,0.4419,0.42344333303986287,0.4249859808831503,0.434775,0.4428,0.41047509733848836,0.4177223645628524,7
1.508067602083087,1.4899825581908226,0.447625,0.4513,0.4384331118702486,0.44236927610404364,0.4484,0.453,0.4303579651727565,0.43460852683324036,8
1.4632877041697503,1.4472802329063414,0.456475,0.4671,0.45083470187002184,0.45165642083771335,0.457975,0.4612,0.4413502819064937,0.4438313031925155,9
1.424591024696827,1.3980459018349647,0.472875,0.4827,0.46875474995015476,0.4835794924565709,0.472675,0.4864,0.46334255992956797,0.47798591458665796,10
